latency_ms	cdf
0.777000	0.483000
0.777000	0.485000
0.777000	0.487000
0.778000	0.489000
0.778000	0.491000
0.778000	0.493000
0.779000	0.495000
0.780000	0.497000
0.781000	0.499000
0.781000	0.501000
0.781000	0.503000
0.782000	0.505000
0.782000	0.507000
0.783000	0.509000
0.783000	0.511000
0.784000	0.513000
0.784000	0.515000
0.785000	0.517000
0.785000	0.519000
0.786000	0.521000
0.786000	0.523000
0.787000	0.525000
0.787000	0.527000
0.788000	0.529000
0.788000	0.531000
0.788000	0.533000
0.789000	0.535000
0.789000	0.537000
0.789000	0.539000
0.790000	0.541000
0.790000	0.543000
0.790000	0.545000
0.790000	0.547000
0.791000	0.549000
0.791000	0.551000
0.792000	0.553000
0.792000	0.555000
0.793000	0.557000
0.793000	0.559000
0.794000	0.561000
0.794000	0.563000
0.795000	0.565000
0.795000	0.567000
0.796000	0.569000
0.796000	0.571000
0.796000	0.573000
0.797000	0.575000
0.797000	0.577000
0.798000	0.579000
0.798000	0.581000
0.798000	0.583000
0.798000	0.585000
0.799000	0.587000
0.799000	0.589000
0.799000	0.591000
0.800000	0.593000
0.800000	0.595000
0.801000	0.597000
0.801000	0.599000
0.802000	0.601333
0.803000	0.603333
0.803000	0.605333
0.804000	0.607333
0.804000	0.609333
0.805000	0.611333
0.805000	0.613333
0.806000	0.615333
0.806000	0.617333
0.807000	0.619333
0.807000	0.621333
0.807000	0.623333
0.808000	0.625333
0.808000	0.627333
0.809000	0.629333
0.809000	0.631333
0.810000	0.633333
0.810000	0.635333
0.811000	0.637333
0.812000	0.639333
0.812000	0.641333
0.812000	0.643333
0.813000	0.645333
0.813000	0.647333
0.814000	0.649333
0.814000	0.651333
0.815000	0.653333
0.815000	0.655333
0.815000	0.657333
0.816000	0.659333
0.816000	0.661333
0.817000	0.663333
0.817000	0.665333
0.818000	0.667333
0.818000	0.669333
0.819000	0.671333
0.820000	0.673333
0.820000	0.675333
0.820000	0.677333
0.821000	0.679333
0.822000	0.681333
0.823000	0.683333
0.823000	0.685333
0.824000	0.687333
0.824000	0.689333
0.825000	0.691333
0.825000	0.693333
0.826000	0.695333
0.826000	0.697333
0.827000	0.699333
0.827000	0.701333
0.828000	0.703333
0.828000	0.705333
0.829000	0.707333
0.829000	0.709333
0.830000	0.711333
0.831000	0.713333
